,Time,BUT,DMA
190,1.91e-10,1.3155509200302663e-15,8.760545408878151e-16
191,1.92e-10,1.4303397288641712e-15,9.046627829375355e-16
192,1.93e-10,1.4903711401355876e-15,9.33681810115034e-16
193,1.94e-10,1.3770564104997826e-15,8.95612268986106e-16
194,1.9500000000000002e-10,1.4512395227906562e-15,9.056551427098093e-16
195,1.9600000000000002e-10,1.5172999558613642e-15,8.979666937134914e-16
196,1.9700000000000002e-10,1.4729606133731671e-15,8.573957403906673e-16
197,1.9800000000000001e-10,1.432092962487093e-15,8.073958910896209e-16
198,1.99e-10,1.5058582715021561e-15,8.31776950564908e-16
199,2e-10,1.427015288060786e-15,8.257913397644579e-16
200,2.01e-10,1.5040735462904476e-15,8.446817324555088e-16
201,2.0200000000000003e-10,1.3767160921534403e-15,7.990966661072773e-16
202,2.0300000000000002e-10,1.3462290092366354e-15,8.292338528887232e-16
203,2.0400000000000002e-10,1.4592255631921951e-15,9.111715674258635e-16
204,2.0500000000000002e-10,1.4378221862054021e-15,9.0064592315308e-16
205,2.06e-10,1.4326694946501484e-15,9.082828147695478e-16
206,2.07e-10,1.4689829683206687e-15,8.918085483922759e-16
207,2.08e-10,1.4974516086762898e-15,8.89389688804174e-16
208,2.0900000000000003e-10,1.3820863055162245e-15,8.854572490724528e-16
209,2.1000000000000002e-10,1.4042358560503467e-15,8.977575726070059e-16
210,2.1100000000000002e-10,1.491580550503239e-15,8.842842504053181e-16
211,2.1200000000000002e-10,1.4799611221994445e-15,9.24581592413931e-16
212,2.1300000000000001e-10,1.4799202528711241e-15,9.261085731503707e-16
213,2.14e-10,1.4658477934661e-15,9.060896745016032e-16
214,2.15e-10,1.4837233828879625e-15,9.350026512899873e-16
215,2.1600000000000003e-10,1.438674285583242e-15,8.893033217102931e-16
216,2.1700000000000003e-10,1.4579396950461411e-15,9.179847160318347e-16
217,2.1800000000000002e-10,1.4541507847265785e-15,9.127387905252375e-16
218,2.1900000000000002e-10,1.3800306630185486e-15,9.221038051706699e-16
219,2.2000000000000002e-10,1.4866804077450528e-15,9.0396057892973e-16
220,2.21e-10,1.5203442680517185e-15,8.963965196576984e-16
221,2.22e-10,1.5646335137563778e-15,9.335146028164886e-16
222,2.23e-10,1.6242727382659794e-15,9.624722778168371e-16
223,2.2400000000000003e-10,1.5749233681330243e-15,9.56228602567944e-16
224,2.2500000000000002e-10,1.4924760775916854e-15,9.5300044236835e-16
225,2.2600000000000002e-10,1.5188037715695838e-15,9.389315063101224e-16
226,2.2700000000000002e-10,1.5161966806895546e-15,9.00584597414742e-16
227,2.2800000000000001e-10,1.5170784645389044e-15,9.03258118737297e-16
228,2.29e-10,1.498586543535368e-15,9.08073281442197e-16
229,2.3e-10,1.6248994730674988e-15,9.123137369558054e-16
230,2.3100000000000003e-10,1.5203619125308922e-15,8.768379623793287e-16
231,2.3200000000000003e-10,1.5387206900182507e-15,8.879675539485149e-16
232,2.33e-10,1.555744969855889e-15,9.053179793503161e-16
233,2.34e-10,1.5663689868984394e-15,9.006608811563367e-16
234,2.35e-10,1.494676060583708e-15,9.164678588553223e-16
235,2.36e-10,1.5185702152945511e-15,8.616280025986544e-16
236,2.37e-10,1.5680451022420176e-15,8.740942980497446e-16
237,2.38e-10,1.5430615748419868e-15,8.922363942079165e-16
238,2.39e-10,1.5673490088432433e-15,8.765117179832733e-16
239,2.4e-10,1.5643972434145693e-15,8.653455892044326e-16
240,2.41e-10,1.5739943832209003e-15,8.73706272912958e-16
241,2.4200000000000004e-10,1.6613134636005325e-15,9.522227384466942e-16
242,2.4300000000000004e-10,1.6683100369295696e-15,9.818511312027746e-16
243,2.4400000000000004e-10,1.6362250204533531e-15,9.513356695203173e-16
244,2.4500000000000003e-10,1.6163693503131837e-15,9.246583807494818e-16
245,2.4600000000000003e-10,1.6430749987861973e-15,9.277038371613522e-16
246,2.4700000000000003e-10,1.6009432404947814e-15,9.0798004761246e-16
247,2.48e-10,1.5924785005414773e-15,9.020009970468445e-16
248,2.49e-10,1.6173232787350673e-15,9.437222721204434e-16
249,2.5e-10,1.6472958438046832e-15,9.674464301397252e-16
250,2.51e-10,1.5785310686889732e-15,9.827633442418272e-16
251,2.52e-10,1.5343040176794004e-15,9.241743060962431e-16
252,2.53e-10,1.606543002945843e-15,9.504292301639177e-16
253,2.54e-10,1.6325204676368775e-15,9.31218970068905e-16
254,2.55e-10,1.6195296234082927e-15,9.502225558497046e-16
255,2.56e-10,1.6681728822925319e-15,1.0025841928361974e-15
256,2.5700000000000004e-10,1.719651463598869e-15,1.0079027435459926e-15
257,2.5800000000000004e-10,1.6778999032271037e-15,1.0104436877204971e-15
258,2.5900000000000004e-10,1.674432457284431e-15,9.353299446973278e-16
259,2.6000000000000003e-10,1.672356387799801e-15,9.45796188348006e-16
260,2.6100000000000003e-10,1.7141579396614554e-15,9.781703775373474e-16
261,2.62e-10,1.7588574059029454e-15,9.725382877416008e-16
262,2.63e-10,1.7161732997584473e-15,9.549200178893247e-16
263,2.64e-10,1.7795885370269068e-15,9.60053395233537e-16
264,2.65e-10,1.6410909642271512e-15,9.53655368423555e-16
265,2.66e-10,1.7072065036784036e-15,9.807501149244033e-16
266,2.67e-10,1.7301188559106397e-15,1.0147049160941181e-15
267,2.68e-10,1.757774139582574e-15,1.036722901873449e-15
268,2.69e-10,1.6645439121964902e-15,1.0266494294386228e-15
269,2.7e-10,1.8011704439627477e-15,1.0341095431091998e-15
270,2.7100000000000005e-10,1.6754489591832852e-15,1.0060527986544403e-15
271,2.7200000000000004e-10,1.6901145697401596e-15,9.909978390606668e-16
272,2.7300000000000004e-10,1.7926651973795915e-15,1.0017634327272335e-15
273,2.7400000000000004e-10,1.793554905276565e-15,1.003466490445953e-15
274,2.7500000000000003e-10,1.8410412476674505e-15,9.955811255729251e-16
275,2.7600000000000003e-10,1.8804723793370546e-15,9.882212071827652e-16
276,2.77e-10,1.7722409988398735e-15,1.0167168393335727e-15
277,2.78e-10,1.9118611681961154e-15,1.072777903088524e-15
278,2.79e-10,1.8193584182379643e-15,1.0665502374944171e-15
279,2.8e-10,1.8544030942327166e-15,1.0235014970628903e-15
280,2.81e-10,1.825963946197803e-15,1.0366731932952195e-15
281,2.82e-10,1.854644811431316e-15,1.0099362716970162e-15
282,2.83e-10,1.7811408688903506e-15,1.0173969256669376e-15
283,2.84e-10,1.822932122516005e-15,1.0317255747311607e-15
284,2.85e-10,1.7064299705010213e-15,1.0111007094421411e-15
285,2.8600000000000005e-10,1.7639465889840042e-15,1.0441606541665482e-15
286,2.8700000000000004e-10,1.8929899671154966e-15,1.0498573045922652e-15
287,2.8800000000000004e-10,1.8254995840147812e-15,1.0270412960941219e-15
288,2.8900000000000004e-10,1.783789780616521e-15,1.0322700673091358e-15
289,2.9000000000000003e-10,1.8030759410474432e-15,1.0351986573451878e-15
290,2.9100000000000003e-10,1.8406555024113555e-15,1.0398579923327197e-15
291,2.92e-10,1.7878417529705153e-15,1.0114705145548868e-15
292,2.93e-10,1.830440883760312e-15,1.0451753393155346e-15
293,2.94e-10,1.8075926307906376e-15,1.0375003443635361e-15
294,2.95e-10,1.8066209130203875e-15,1.0483878634884716e-15
295,2.96e-10,1.791249382508522e-15,1.085154102947154e-15
296,2.97e-10,1.829646550168205e-15,1.0421188202066369e-15
297,2.98e-10,1.90704192784512e-15,1.0094336687436018e-15
298,2.99e-10,1.8774604240026442e-15,1.0232296977763432e-15
299,3e-10,1.8409599347003463e-15,1.0650917918931557e-15
300,3.0100000000000005e-10,1.8715871979192786e-15,1.0711769596208105e-15
301,3.0200000000000004e-10,1.7941265467572216e-15,1.0454943135277672e-15
302,3.0300000000000004e-10,1.773578764348382e-15,1.039545025209647e-15
303,3.0400000000000004e-10,1.8276636854414374e-15,1.0285290962413369e-15
304,3.0500000000000003e-10,1.7792623386949618e-15,1.046060173066435e-15
305,3.0600000000000003e-10,1.855126829814791e-15,1.011148273067673e-15
306,3.07e-10,1.8956042411304565e-15,1.0292079463551484e-15
307,3.08e-10,1.7270651272808684e-15,9.803230167363733e-16
308,3.09e-10,1.7812279091500642e-15,9.747859140501935e-16
309,3.1e-10,1.6283076077483134e-15,9.916117098451433e-16
310,3.11e-10,1.708037198328677e-15,1.0284613994441381e-15
311,3.12e-10,1.7327742822011197e-15,1.0029840432551385e-15
312,3.13e-10,1.7288962547191592e-15,1.0173220265173126e-15
313,3.14e-10,1.6694997756937868e-15,9.78610119568347e-16
