,Time,BUT,OCM
150,1.5100000000000002e-10,1.5205271087127873e-16,7.251861986593156e-17
151,1.5200000000000002e-10,1.6098324731464935e-16,7.518848423043205e-17
152,1.5300000000000001e-10,1.4977300071304084e-16,7.832690922208756e-17
153,1.54e-10,1.5466513578971736e-16,7.222347353558063e-17
154,1.55e-10,1.5386832753678271e-16,7.425955564244563e-17
155,1.56e-10,1.6684747519394604e-16,7.901192304251833e-17
156,1.57e-10,1.6690950848379992e-16,7.817969971461298e-17
157,1.5800000000000002e-10,1.5290898529202005e-16,7.388740290712394e-17
158,1.5900000000000002e-10,1.65638386798025e-16,7.749172495074191e-17
159,1.6000000000000002e-10,1.641377531727066e-16,7.479535295208688e-17
160,1.61e-10,1.5979701299191147e-16,7.527281122516242e-17
161,1.62e-10,1.6021839135053772e-16,7.530248309774679e-17
162,1.63e-10,1.4706106177773323e-16,7.234006197184023e-17
163,1.64e-10,1.4901580620867527e-16,7.766655963295325e-17
164,1.6500000000000002e-10,1.6079723263978817e-16,7.549392143828486e-17
165,1.6600000000000002e-10,1.603095277685106e-16,7.63551294040951e-17
166,1.6700000000000002e-10,1.6127827540547462e-16,7.475920210222563e-17
167,1.6800000000000001e-10,1.5657181139444812e-16,7.4059449265499e-17
168,1.69e-10,1.4853717791968513e-16,7.378174665592185e-17
169,1.7e-10,1.5115020664096446e-16,7.50005231615958e-17
170,1.71e-10,1.5479161348961233e-16,7.524468668281403e-17
171,1.72e-10,1.5791394438945338e-16,7.613727958371004e-17
172,1.7300000000000002e-10,1.6571989729661031e-16,7.661698594470946e-17
173,1.7400000000000002e-10,1.544096551563147e-16,7.565669848271967e-17
174,1.7500000000000002e-10,1.5041720786192815e-16,7.623471179089495e-17
175,1.76e-10,1.566272710338807e-16,7.60724022870142e-17
176,1.77e-10,1.5241825204068065e-16,7.566838582174991e-17
177,1.78e-10,1.591092426874482e-16,7.743893896290444e-17
178,1.79e-10,1.6389005892569744e-16,7.913295771472454e-17
179,1.8000000000000002e-10,1.4917422722340357e-16,7.837245521208745e-17
180,1.8100000000000002e-10,1.4133467146211905e-16,7.913390901988506e-17
181,1.8200000000000002e-10,1.5428650803932206e-16,7.86863836895051e-17
182,1.8300000000000001e-10,1.5924641075257935e-16,8.17450619063155e-17
183,1.84e-10,1.5167777272321235e-16,7.862949750091993e-17
184,1.85e-10,1.5584284423778271e-16,7.834214798444599e-17
185,1.86e-10,1.5377896955044333e-16,7.979106304663015e-17
186,1.8700000000000003e-10,1.5711044884663842e-16,7.909425999500775e-17
187,1.8800000000000002e-10,1.6437046362438222e-16,7.884943842534238e-17
188,1.8900000000000002e-10,1.5922521137579965e-16,7.94407873077601e-17
189,1.9000000000000002e-10,1.5624458834951587e-16,7.668334553713514e-17
190,1.91e-10,1.489869468019866e-16,7.850155893119136e-17
191,1.92e-10,1.4737833923866042e-16,7.514876720716248e-17
192,1.93e-10,1.5872717158578948e-16,7.686870767188795e-17
193,1.94e-10,1.522304016899253e-16,7.681738496652442e-17
194,1.9500000000000002e-10,1.5438199650333269e-16,7.727996632042959e-17
195,1.9600000000000002e-10,1.506804177001275e-16,7.754836713111102e-17
196,1.9700000000000002e-10,1.486011490027529e-16,7.674717767044948e-17
197,1.9800000000000001e-10,1.6111066102861316e-16,8.178003920825714e-17
198,1.99e-10,1.6464468852224998e-16,7.818443279633918e-17
199,2e-10,1.466329012937263e-16,8.113781033859109e-17
200,2.01e-10,1.6261819408464756e-16,7.884991516916056e-17
201,2.0200000000000003e-10,1.6096695291618086e-16,8.069273599313801e-17
202,2.0300000000000002e-10,1.6467078469509696e-16,7.702914951225582e-17
203,2.0400000000000002e-10,1.5844390941901322e-16,7.992691497444239e-17
204,2.0500000000000002e-10,1.6617725781129836e-16,8.003047964540394e-17
205,2.06e-10,1.5014750533027446e-16,8.081718224231694e-17
206,2.07e-10,1.6103383434745416e-16,7.714417464910752e-17
207,2.08e-10,1.5420186106576166e-16,7.806451072519512e-17
208,2.0900000000000003e-10,1.5645629028032366e-16,7.656861187173288e-17
209,2.1000000000000002e-10,1.6514168798086412e-16,7.798287378203017e-17
210,2.1100000000000002e-10,1.600594439868728e-16,7.58619564396026e-17
211,2.1200000000000002e-10,1.5661013040437268e-16,7.853409690863467e-17
212,2.1300000000000001e-10,1.606756528884984e-16,8.457189034583634e-17
213,2.14e-10,1.4887907713451294e-16,7.998106240565399e-17
214,2.15e-10,1.543728218694464e-16,7.756583023713495e-17
215,2.1600000000000003e-10,1.5114873979085318e-16,7.349804569232655e-17
216,2.1700000000000003e-10,1.5787022165043642e-16,7.953375297705964e-17
217,2.1800000000000002e-10,1.5114416667211507e-16,7.590615570911692e-17
218,2.1900000000000002e-10,1.5858166166351953e-16,7.864662951197572e-17
219,2.2000000000000002e-10,1.5462032136995957e-16,7.948162886216286e-17
220,2.21e-10,1.4994766152300455e-16,7.681548686207102e-17
221,2.22e-10,1.4853191121187627e-16,7.851035501748573e-17
222,2.23e-10,1.381838021897779e-16,7.912769357835888e-17
