,Time,PET,BUT
642,6.430000000000001e-10,6.076388284306159e-16,2.0783239044558768e-15
643,6.44e-10,5.802341131974636e-16,2.1278777926731193e-15
644,6.45e-10,5.958367268892235e-16,2.1291489946061522e-15
645,6.46e-10,6.260231736452309e-16,2.079535343402111e-15
646,6.47e-10,6.014740534835832e-16,2.1447205378791934e-15
647,6.48e-10,5.753922191633402e-16,2.1665783227227788e-15
648,6.49e-10,6.335434160025598e-16,2.1450171133281146e-15
649,6.5e-10,6.086998544356371e-16,2.054583635794567e-15
650,6.51e-10,6.032153758612228e-16,2.1566102855926906e-15
651,6.52e-10,6.161819458146333e-16,2.164353682620444e-15
652,6.53e-10,6.225753266234178e-16,2.114434086525518e-15
653,6.54e-10,6.109930333284449e-16,2.1490046655246114e-15
654,6.55e-10,6.382040583843695e-16,2.2142253902356147e-15
655,6.56e-10,6.284736226528188e-16,2.0965630270056384e-15
656,6.57e-10,5.755732637522481e-16,2.176003846205646e-15
657,6.58e-10,6.474733909746471e-16,2.180987595369697e-15
658,6.590000000000001e-10,6.360066660419594e-16,2.1940212062404624e-15
659,6.600000000000001e-10,5.770624733682214e-16,2.148610690856146e-15
660,6.610000000000001e-10,6.376057265374046e-16,2.2300990383865707e-15
661,6.620000000000001e-10,6.052974896030814e-16,2.1337572480548417e-15
662,6.630000000000001e-10,6.121185499591484e-16,2.1311688360192234e-15
663,6.640000000000001e-10,6.505020853651048e-16,2.160587265658601e-15
664,6.650000000000001e-10,6.269952610533615e-16,2.139109231680288e-15
665,6.660000000000001e-10,6.282141100434975e-16,2.0847903783789954e-15
666,6.670000000000001e-10,6.360702863495659e-16,2.102896865759937e-15
667,6.680000000000001e-10,5.955708744163332e-16,2.1438381209991922e-15
668,6.690000000000001e-10,6.4320777538078e-16,2.143857000289519e-15
669,6.700000000000001e-10,5.855174783995728e-16,2.079565039980427e-15
670,6.710000000000001e-10,6.265284292169539e-16,2.1602038700728797e-15
671,6.720000000000001e-10,6.11742706785826e-16,2.1762310319302145e-15
672,6.730000000000001e-10,5.988102216566201e-16,2.2021636110102535e-15
673,6.74e-10,5.942828635205483e-16,2.152580708497121e-15
674,6.75e-10,5.894602397245338e-16,2.220184339656138e-15
675,6.76e-10,6.070417355808381e-16,2.143854516140316e-15
676,6.77e-10,6.104398411505282e-16,2.1885910061340697e-15
677,6.78e-10,6.204494210841944e-16,2.152898239283006e-15
678,6.79e-10,5.908263758393757e-16,2.131572884376174e-15
679,6.8e-10,5.922185318493324e-16,2.1354258434407052e-15
680,6.81e-10,6.035633803602514e-16,2.1833792810513237e-15
681,6.82e-10,5.968409844892147e-16,2.273545846906634e-15
682,6.83e-10,5.834017926865824e-16,2.1044073665801632e-15
683,6.84e-10,5.57995429923681e-16,2.1491463655309125e-15
684,6.85e-10,5.765183985020358e-16,2.226724579570176e-15
685,6.86e-10,6.133454539674325e-16,2.2011715107644945e-15
686,6.87e-10,5.825234883441706e-16,2.168631801809215e-15
687,6.88e-10,5.938085799651177e-16,2.180868438577801e-15
688,6.890000000000001e-10,5.799016046912285e-16,2.190551908896249e-15
689,6.900000000000001e-10,6.055798468045699e-16,2.1717677012606544e-15
690,6.910000000000001e-10,6.150150985505349e-16,2.247656536624796e-15
691,6.920000000000001e-10,5.899824431776203e-16,2.1478416308129156e-15
692,6.930000000000001e-10,6.260038789056934e-16,2.263627775826679e-15
693,6.940000000000001e-10,6.026113785907397e-16,2.318948680557713e-15
694,6.950000000000001e-10,6.213745002181263e-16,2.344131620949928e-15
695,6.960000000000001e-10,6.292291081623285e-16,2.262463792273622e-15
696,6.970000000000001e-10,6.292499131039368e-16,2.3024003427404137e-15
697,6.980000000000001e-10,6.489884386269488e-16,2.267768753256246e-15
698,6.990000000000001e-10,6.34797591667198e-16,2.2375812230700977e-15
699,7.000000000000001e-10,5.947466377933901e-16,2.1764364177881707e-15
700,7.010000000000001e-10,6.084187384610709e-16,2.2293465465953722e-15
701,7.020000000000001e-10,6.031437779824176e-16,2.22288129310342e-15
702,7.030000000000001e-10,5.846479317602151e-16,2.2018761945363976e-15
703,7.04e-10,6.056042128775573e-16,2.2802717010537576e-15
704,7.05e-10,5.994047250984302e-16,2.2729585560797033e-15
705,7.06e-10,5.95754423783312e-16,2.2946102356596762e-15
706,7.07e-10,5.948991935697081e-16,2.2768163873033425e-15
707,7.08e-10,5.995647426568863e-16,2.3064417686586305e-15
708,7.09e-10,6.154515292788209e-16,2.2804532528467754e-15
709,7.1e-10,6.213872341616143e-16,2.2621484384096515e-15
710,7.11e-10,6.032093579868275e-16,2.225905509069484e-15
711,7.12e-10,6.149214999348929e-16,2.1861340448183016e-15
712,7.13e-10,6.493544328984334e-16,2.1532387326982878e-15
713,7.14e-10,6.294552815745718e-16,2.204639458844171e-15
714,7.15e-10,6.23897731169554e-16,2.2607214871902328e-15
715,7.16e-10,6.243002879045061e-16,2.1728654090511524e-15
716,7.17e-10,6.371964048935735e-16,2.230471254705976e-15
717,7.180000000000001e-10,6.313368732673e-16,2.2199988746271374e-15
718,7.190000000000001e-10,6.413926456000925e-16,2.2662452423643476e-15
719,7.200000000000001e-10,6.357143915290114e-16,2.238903209896518e-15
720,7.210000000000001e-10,6.535358542055648e-16,2.230049505420822e-15
721,7.220000000000001e-10,6.131520587591186e-16,2.1988734182311064e-15
722,7.230000000000001e-10,6.54161003036666e-16,2.296648455305684e-15
723,7.240000000000001e-10,6.575714236587065e-16,2.2031322129525525e-15
724,7.250000000000001e-10,6.264324470520387e-16,2.2199476173479366e-15
725,7.260000000000001e-10,6.613700673549473e-16,2.2289890804987393e-15
726,7.270000000000001e-10,7.016426000116003e-16,2.2000458352438644e-15
727,7.280000000000001e-10,7.008588991985285e-16,2.2385367790898258e-15
728,7.290000000000001e-10,6.456296679950978e-16,2.2567794821855743e-15
729,7.300000000000001e-10,6.559816558094547e-16,2.3359029003673633e-15
730,7.310000000000001e-10,6.519677749382718e-16,2.2264704426473383e-15
731,7.320000000000001e-10,6.599948460286138e-16,2.252700101221591e-15
732,7.330000000000001e-10,6.306211951627501e-16,2.2323153741708326e-15
733,7.34e-10,6.584536757388282e-16,2.256100586824574e-15
734,7.35e-10,6.728762477716196e-16,2.348929351053165e-15
735,7.36e-10,6.63004001204033e-16,2.2936422870585995e-15
736,7.37e-10,6.619578215710374e-16,2.2874995694084686e-15
737,7.38e-10,6.152145250807946e-16,2.2429215030308212e-15
738,7.39e-10,6.394240405721902e-16,2.2733197502999278e-15
739,7.4e-10,6.764188939624739e-16,2.253761721689449e-15
740,7.41e-10,6.942158091274996e-16,2.245818648711882e-15
741,7.42e-10,6.756244209398621e-16,2.252037237280964e-15
742,7.43e-10,6.77345259875332e-16,2.1991356148883494e-15
743,7.44e-10,6.669013550041894e-16,2.169640973786978e-15
744,7.45e-10,6.795207311038089e-16,2.2492076037561842e-15
745,7.46e-10,6.800511871160741e-16,2.3022960273928836e-15
746,7.470000000000001e-10,6.662869173946772e-16,2.267888251217587e-15
747,7.480000000000001e-10,6.864670146858129e-16,2.305408600893308e-15
748,7.490000000000001e-10,6.572719495300399e-16,2.2834168548803366e-15
749,7.500000000000001e-10,6.653895796382972e-16,2.2617018657887557e-15
750,7.510000000000001e-10,6.980315369710474e-16,2.353497332439247e-15
751,7.520000000000001e-10,6.85933506253499e-16,2.388511278067008e-15
752,7.530000000000001e-10,6.913818052195299e-16,2.3520945085090425e-15
753,7.540000000000001e-10,7.009728540244131e-16,2.3395441884895023e-15
754,7.550000000000001e-10,7.068030871084155e-16,2.3940889840860258e-15
755,7.560000000000001e-10,6.762477615521098e-16,2.3417824097973802e-15
756,7.570000000000001e-10,6.925516830347326e-16,2.3224489446920377e-15
757,7.580000000000001e-10,7.20127998008853e-16,2.2682355619849724e-15
758,7.590000000000001e-10,6.847532598656067e-16,2.2355971246621258e-15
759,7.600000000000001e-10,6.988550527849913e-16,2.1968486435308393e-15
760,7.610000000000001e-10,6.783605596833613e-16,2.310274137765093e-15
761,7.620000000000001e-10,6.765521864647128e-16,2.334936226841572e-15
