,Time,DMA
325,3.26e-10,1.4471899361421317e-15
326,3.27e-10,1.4879528056491646e-15
327,3.28e-10,1.4757055138832633e-15
328,3.29e-10,1.4332126285466914e-15
329,3.3000000000000005e-10,1.4086559389706892e-15
330,3.3100000000000005e-10,1.476146450850521e-15
331,3.3200000000000004e-10,1.4855065289273604e-15
332,3.3300000000000004e-10,1.4811522620008512e-15
333,3.3400000000000004e-10,1.46429030322074e-15
334,3.3500000000000003e-10,1.5043926544106253e-15
335,3.3600000000000003e-10,1.4107175359478091e-15
336,3.37e-10,1.425446890599497e-15
337,3.38e-10,1.4165650607789944e-15
338,3.39e-10,1.3958889644533157e-15
339,3.4e-10,1.4025723805056764e-15
340,3.41e-10,1.383367083571835e-15
341,3.42e-10,1.4245815164102678e-15
342,3.43e-10,1.3812463292910698e-15
343,3.44e-10,1.405547883940005e-15
344,3.4500000000000005e-10,1.3871221701264084e-15
345,3.4600000000000005e-10,1.4391227972641486e-15
346,3.4700000000000004e-10,1.4369346891542938e-15
347,3.4800000000000004e-10,1.4393627575693411e-15
348,3.4900000000000004e-10,1.4476989048921876e-15
349,3.5000000000000003e-10,1.4460715201219961e-15
350,3.5100000000000003e-10,1.4389952213937133e-15
351,3.52e-10,1.4215260035598977e-15
352,3.53e-10,1.4951446876201096e-15
353,3.54e-10,1.4784327749404123e-15
354,3.55e-10,1.5154033877800219e-15
355,3.56e-10,1.498047233606568e-15
356,3.57e-10,1.426329124540035e-15
357,3.58e-10,1.4958665360074381e-15
358,3.5900000000000005e-10,1.4992598969898938e-15
359,3.6000000000000005e-10,1.5225333876615695e-15
360,3.6100000000000005e-10,1.4575200676218812e-15
361,3.6200000000000004e-10,1.4906555871903189e-15
362,3.6300000000000004e-10,1.5439100822533321e-15
363,3.6400000000000004e-10,1.525767010306153e-15
364,3.6500000000000003e-10,1.477712197675477e-15
365,3.6600000000000003e-10,1.5032154265882376e-15
366,3.67e-10,1.505095758716334e-15
367,3.68e-10,1.437235007553635e-15
368,3.69e-10,1.508077271807284e-15
369,3.7e-10,1.5227189138390253e-15
370,3.71e-10,1.4818958266670024e-15
371,3.72e-10,1.5156000487464103e-15
372,3.73e-10,1.4822451025038953e-15
373,3.7400000000000005e-10,1.542763323797787e-15
374,3.7500000000000005e-10,1.5316230464704938e-15
375,3.7600000000000005e-10,1.5096607252751042e-15
376,3.7700000000000004e-10,1.528406108130533e-15
377,3.7800000000000004e-10,1.5121905924498106e-15
378,3.7900000000000004e-10,1.5735657217678113e-15
379,3.8000000000000003e-10,1.5597745332709099e-15
380,3.8100000000000003e-10,1.5673609149653928e-15
381,3.82e-10,1.5380248548053576e-15
382,3.83e-10,1.5672226593363755e-15
383,3.84e-10,1.5423554236345762e-15
384,3.85e-10,1.5734014097633358e-15
385,3.86e-10,1.5946757090067956e-15
386,3.87e-10,1.6269527825891723e-15
387,3.88e-10,1.6741701481543723e-15
388,3.8900000000000005e-10,1.6837235970125258e-15
389,3.9000000000000005e-10,1.6531751345996366e-15
390,3.9100000000000005e-10,1.6301225036731652e-15
391,3.9200000000000004e-10,1.631934536814483e-15
392,3.9300000000000004e-10,1.6278441255028737e-15
393,3.9400000000000004e-10,1.672096452619846e-15
394,3.9500000000000003e-10,1.6790615100569887e-15
395,3.9600000000000003e-10,1.6518647868724258e-15
396,3.97e-10,1.5936153573497345e-15
397,3.98e-10,1.601508182664261e-15
398,3.99e-10,1.6677235168824542e-15
399,4e-10,1.7261380765783198e-15
